LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
50000,2,2,2,68,-1,3,0,5,-1,-1,31886,9132,3370,14421,23371,13973,0,3241,634,8998,10899,10795,0
300000,2,3,3,50,-1,5,-1,-1,1,4,27799,82035,75969,3796,133910,76179,2338,58721,15170,761,93432,24048,0
150000,2,2,1,60,0,2,-1,5,-1,1,101029,43291,91203,91805,68283,77815,68070,5150,20766,50775,3858,3234,0
100000,1,1,1,36,1,1,1,1,0,2,27176,33378,33991,26372,23478,25379,18971,7058,0,16846,0,10900,1
20000,2,1,1,65,1,0,0,8,0,0,11015,3877,13367,8036,13137,11750,3222,1150,7344,3386,3893,4890,1
20000,2,2,2,58,0,0,2,0,0,0,5686,5721,3768,11620,4917,8231,2347,446,2605,1306,1652,2774,0
10000,2,2,1,48,0,-1,0,0,0,-1,4729,3577,1457,8040,3393,1355,2396,1731,968,5066,1430,556,0
200000,2,2,2,37,-1,0,4,-1,-1,0,11715,89613,80291,98254,56796,51763,5503,28897,29424,56213,28607,24933,0
100000,2,1,1,59,0,5,8,0,2,6,38343,22251,27766,55152,8650,10666,23774,8294,8304,6431,452,1798,0
100000,1,3,2,39,-1,0,2,1,3,0,40881,51215,13997,66009,66000,61992,13301,11743,3594,555,25807,23911,1
10000,2,2,1,27,2,0,0,-1,1,-1,4683,3632,5991,3519,5733,3022,1800,1203,4330,1586,2326,1377,1
500000,2,1,1,38,0,-1,0,0,-1,-1,181597,62189,350543,255192,230160,247770,0,26755,82946,60108,95073,112007,0
200000,2,2,1,66,0,0,3,-1,0,-1,128880,62557,89726,171100,92393,33069,51167,33733,25397,13230,40713,15223,0
30000,2,2,1,58,1,3,1,-1,1,-1,15097,8991,6607,15818,15187,7323,7576,6743,4250,9715,6905,1701,0
20000,1,2,2,46,-1,4,-1,0,2,-1,2075,7578,4376,14297,8485,11542,331,830,23,5335,832,5210,0
20000,2,2,2,60,0,0,-1,3,-1,-1,4360,7785,8189,6332,0,6582,548,1677,4013,101,0,608,0
30000,1,2,1,48,-1,0,0,0,1,8,14724,13394,0,12087,5002,14519,4376,6721,0,2645,2078,3923,0
80000,1,1,1,67,-1,-1,0,-1,-1,0,24532,53859,40253,28395,55123,38888,4108,33133,17213,6538,15113,22735,0
50000,2,2,1,27,0,0,2,-1,1,8,21981,10639,8618,17789,31673,8112,11276,3498,5022,7065,19512,1869,0
30000,1,1,1,70,9,0,0,-1,-1,2,14074,14161,15766,18287,0,17287,8059,1829,8241,7395,0,5129,1
100000,2,1,2,59,0,1,9,1,3,1,17830,71473,38704,50918,58224,18945,1203,26047,0,19190,32256,6482,0
20000,2,2,1,46,0,1,5,2,-1,1,12524,216,13862,9341,12606,7785,3813,118,4884,3123,3960,4151,1
30000,2,1,1,62,-1,2,3,3,0,4,20019,15148,15521,17648,16843,2220,8563,3266,11952,6021,3868,916,1
50000,2,1,1,63,0,-1,0,-1,0,8,13462,19316,12252,10816,12906,971,4965,9628,4398,2042,7605,509,1
50000,2,2,2,55,2,0,-1,-1,2,0,17574,10755,15226,26469,22179,20613,2236,3776,7762,3584,12952,9853,0
150000,2,3,2,28,0,-1,3,-1,1,-1,108506,92918,39138,11448,16405,65336,48837,24249,11843,7961,4331,28525,0
20000,1,2,1,65,1,2,0,0,0,-1,672,10112,13195,4591,9063,13239,68,2200,4196,3691,6777,2407,0
80000,2,1,2,73,0,5,2,0,3,4,0,11491,23219,37452,17682,14784,0,2440,6562,0,6751,2668,0
100000,1,2,2,24,-1,0,-1,3,-1,0,38951,0,40571,55856,41343,77970,12377,0,8037,35681,10129,10729,1
10000,1,2,2,37,0,2,0,0,0,8,4110,2331,5222,868,4037,6178,1172,602,696,203,554,941,0
100000,2,1,1,41,0,4,-1,1,1,0,53920,56688,19861,88885,19413,35225,28096,532,6527,0,6039,8395,0
20000,1,1,2,47,-1,0,0,0,1,0,10797,8032,12117,13502,0,3900,6710,2672,7038,4125,0,780,0
10000,2,1,2,59,0,0,6,3,3,0,1489,0,6386,7723,4860,6002,206,0,2143,5075,1946,3517,0
300000,2,2,1,42,0,2,0,-1,0,2,206110,182904,174518,144911,134037,60579,66288,82834,82910,95404,44233,10142,1
500000,2,2,1,43,2,9,3,-1,0,-1,0,98387,123597,225079,179310,272373,0,80305,33162,86596,44544,92066,1
150000,1,2,1,66,0,2,5,-1,0,-1,6760,63428,41640,63779,70880,11249,854,16791,32598,11534,34749,4084,0
30000,2,3,1,23,4,0,6,0,-1,2,16316,7356,9652,5685,11705,12380,7565,4419,4746,1243,1112,2999,0
20000,1,1,1,51,1,-1,0,2,2,2,3332,5824,5313,7613,7995,7941,3263,3503,2405,2939,4133,2942,1
100000,1,4,1,64,3,1,5,0,0,5,66635,66805,57727,16229,8319,31868,10350,32979,28321,9175,4094,9717,0
50000,1,2,1,28,-1,1,2,7,-1,2,21189,333,28171,22909,8319,40445,8365,166,9696,12157,2877,5017,1
20000,2,1,1,34,2,0,0,0,0,0,8475,13832,11770,5871,6413,6302,3316,3031,6021,2390,2020,2256,0
80000,1,3,1,47,-1,0,0,-1,-1,2,28454,53298,38746,30348,8373,34596,9954,21748,7841,16760,2099,8287,0
10000,2,2,2,69,2,-1,2,1,-1,9,4258,5514,0,2021,3347,3884,923,0,0,987,955,2277,0
200000,1,1,2,45,0,3,0,0,1,2,158015,66851,87523,69574,401,30231,80300,0,33739,43744,234,13781,0
30000,1,1,1,21,-1,0,-1,-1,0,-1,11028,9052,4494,7852,16403,17029,0,688,1258,3118,0,6392,0
100000,2,1,2,56,1,2,5,0,-1,1,36849,30978,58728,53775,63828,43379,14986,6947,4428,7348,30736,27802,0
30000,1,3,1,44,-1,0,0,3,-1,1,18183,22721,1140,21185,18129,14755,10347,7691,655,13657,6942,4965,0
80000,2,1,2,62,5,6,0,1,0,7,39970,56333,13461,30356,20033,37360,13585,12969,3097,21741,5101,16049,1
80000,2,3,1,46,-1,1,0,-1,1,8,26821,16418,10489,50083,25879,11257,2999,4024,689,21201,14175,4622,0
20000,2,1,1,63,2,-1,3,0,2,-1,7008,6085,9254,9624,1925,9054,723,4557,2167,2655,314,5013,0
500000,1,1,2,51,1,0,-1,0,0,-1,165766,219201,178428,225253,228430,217948,82642,125714,97792,38222,58937,26719,0
150000,2,1,2,47,0,2,0,0,-1,-1,18236,46972,79006,60709,93122,17165,6023,16783,34343,42151,43420,7163,0
300000,2,2,1,74,2,3,3,1,2,-1,123543,97083,71771,102047,87916,21165,10726,1856,13252,22319,59513,6139,1
